albe, masculine
alcaloïde, masculine
alcool, masculine
aldéhyde, masculine
algèbre, feminine
alinéa, masculine
aller, masculine
alliage, masculine
alligator, masculine
alpha, masculine
alphabet, masculine
amant, masculine
amas, masculine
ambe, masculine
ambre, feminine
ame, masculine
ami, feminine
amigo, masculine
amour, feminine
amoureux, feminine
amphibie, masculine
amphibien, masculine
amœbocyte, masculine
amœboïde, masculine
an, masculine
analyseur, masculine
ancien, masculine
ancœur, masculine
androïde, masculine
anesthésique, feminine
ange, feminine
anglois, masculine
animal, masculine
anniversaire, masculine
annonce, feminine
anthropocentrisme, masculine
anticorps, masculine
antilogarithme, masculine
antépisode, masculine
anœstrus, masculine
août, masculine
aperçu, masculine
able, masculine
aboi, masculine
abolissement, masculine
abolitionnisme, masculine
abonné, masculine
abord, masculine
abordage, masculine
abouchement, masculine
about, masculine
aboutissement, masculine
abracadabra, masculine
abraham, masculine
abrégement, masculine
abreuvage, masculine
abreuvement, masculine
abreuvoir, masculine
abri, masculine
abribus, masculine
abricot, masculine
abricotier, masculine
abrivent, masculine
abruti, masculine
abrutissement, masculine
abruzzais, masculine
abruzzes, feminine
absentéisme, masculine
absolu, masculine
absolutisme, masculine
absorbeur, masculine
abstème, masculine
abstentionniste, feminine
abstractionnisme, masculine
abstractionniste, feminine
abstrait, masculine
absurde, masculine
abus, masculine
abysse, masculine
acacia, masculine
académicien, masculine
académisme, feminine
acadien, masculine
acajou, masculine
acanthocyte, masculine
acare, masculine
acaricide, masculine
acarien, masculine
acarus, masculine
acatholique, masculine
accablement, masculine
accaparement, masculine
accapareur, masculine
accastillage, masculine
accéléromètre, masculine
accent, masculine
accepteur, masculine
accès, masculine
accessit, masculine
absinthe, feminine
absolution, feminine
absorption, feminine
absorptivité, feminine
absoute, feminine
abstention, feminine
abstersion, feminine
abstraction, feminine
abyssinie, feminine
acadie, feminine
acadienne, feminine
acalculie, feminine
acanthite, feminine
acarophobie, feminine
accalmie, feminine
accentuation, feminine
acceptabilité, feminine
acception, feminine
accessibilité, feminine
accession, feminine
accise, feminine
acclamation, feminine
acclimatation, feminine
accointance, feminine
accolure, feminine
accordailles, feminine
accore, masculine
accortise, feminine
accouchée, feminine
accoucheuse, feminine
accouple, feminine
accoutumance, feminine
accréditation, feminine
accrue, feminine
accumulation, feminine
accusation, feminine
acéphalie, feminine
acerbité, feminine
acétone, feminine
acétonémie, feminine
acétylation, feminine
acétylcholine, feminine
acétylcholinestérase, feminine
acétylène, masculine
ache, masculine
achillée, feminine
achluophobie, feminine
achondroplasie, feminine
achromatisation, feminine
achromatopsie, feminine
achromie, feminine
acidification, feminine
acidimétrie, feminine
acidité, feminine
acidocétose, feminine
acidose, feminine
abréaction, feminine
abricotine, feminine
abrine, feminine
abrutie, feminine
absorbabilité, feminine
absorbance, feminine
absorbeuse, feminine
abstracteuse, feminine
absurdie, feminine
abuseuse, feminine
académicienne, feminine
acapulcoïte, feminine
