,noun,gender,lang
453,belouga,m,fr
454,bellicisme,m,fr
455,bellastre,m,fr
456,bichon,m,fr
457,bichlorure,m,fr
458,bichof,m,fr
459,bichelamar,m,fr
460,bichlamar,m,fr
461,biceps,m,fr
462,bicarbure,m,fr
463,bic,m,fr
464,bicentenaire,m,fr
465,bibi,m,fr
466,bibliobus,m,fr
467,bicarbonate,m,fr
468,biscotin,m,fr
469,bibelotier,m,fr
470,biscayen,m,fr
471,bischof,m,fr
472,biberon,m,fr
473,birr,m,fr
474,birman,m,fr
475,birdie,m,fr
476,birbe,m,fr
477,birapport,m,fr
478,bobinage,m,fr
479,boc,m,fr
480,biquet,m,fr
481,bobinoir,m,fr
482,bobard,m,fr
483,bobineur,m,fr
484,bobeur,m,fr
485,bob,m,fr
486,boa,m,fr
487,blush,m,fr
488,blutage,m,fr
489,blutoir,m,fr
490,bossu,m,fr
491,bluffeur,m,fr
492,bossoir,m,fr
493,bosseur,m,fr
494,bosnien,m,fr
495,bosquet,m,fr
496,bosco,m,fr
497,boscoyo,m,fr
498,bosniaque,m,fr
499,boxer,m,fr
500,boscard,m,fr
501,bortsch,m,fr
503,boxeur,m,fr
504,borohydrure,m,fr
505,boson,m,fr
506,box-office,m,fr
507,box-calf,m,fr
508,bouzouki,m,fr
509,bovarysme,m,fr
510,bouzouk,m,fr
511,bouvreuil,m,fr
512,bouturage,m,fr
513,boutonnage,m,fr
514,bouvier,m,fr
515,brony,m,fr
516,bronzier,m,fr
517,brossier,m,fr
518,bronzage,m,fr
519,brontosaure,m,fr
520,brou,m,fr
521,bronze,m,fr
522,bronzeur,m,fr
523,bowling,m,fr
524,bromoforme,m,fr
525,bromure,m,fr
526,bronchodilatateur,m,fr
527,bromisme,m,fr
528,bronchoscope,m,fr
529,cabas,m,fr
530,cabinet,m,fr
531,cabaretier,m,fr
532,cabestan,m,fr
533,cabernet,m,fr
534,cabillot,m,fr
535,cabillaud,m,fr
536,caban,m,fr
537,caberlot,m,fr
538,cabaret,m,fr
539,cabanon,m,fr
540,cabaliste,m,fr
541,calcification,m,fr
542,calcul,m,fr
543,calcin,m,fr
544,calcium,m,fr
545,calcarone,m,fr
546,calcanthe,m,fr
547,calbar,m,fr
548,calao,m,fr
549,canif,m,fr
550,caniveau,m,fr
551,caneton,m,fr
552,calcaire,m,fr
553,canevas,m,fr
554,calamondin,m,fr
555,cancrelat,m,fr
556,canneur,m,fr
557,carillon,m,fr
558,caribou,m,fr
559,carillonnement,m,fr
560,caret,m,fr
561,candidat,m,fr
562,caresme,m,fr
563,carencro,m,fr
564,candi,m,fr
565,cariacou,m,fr
566,cari,m,fr
567,cardon-de-mer,m,fr
568,cardon,m,fr
569,catholicisme,m,fr
570,cardioprotecteur,m,fr
571,catatrufa,m,fr
572,catcheur,m,fr
573,catharisme,m,fr
574,catarrhinien,m,fr
575,cargo,m,fr
576,catastrophisme,m,fr
577,catarrhe,m,fr
578,catarhinien,m,fr
579,catapulteur,m,fr
580,certif,m,fr
581,catapultage,m,fr
582,certificat,m,fr
583,cerne,m,fr
584,certain,m,fr
585,cerque,m,fr
586,cerfeuil,m,fr
587,cerisier,m,fr
588,cerf-volant,m,fr
589,chantier,m,fr
590,chantoung,m,fr
591,chantonnement,m,fr
592,chanoine,m,fr
593,chantage,m,fr
594,chant,m,fr
595,chantefable,m,fr
596,changement,m,fr
597,chanteur,m,fr
598,changeur,m,fr
599,chanfrein,m,fr
600,chansonnier,m,fr
601,chandelier,m,fr
602,chandail,m,fr
603,chawarma,m,fr
604,cheat,m,fr
605,cheau,m,fr
606,chavisme,m,fr
607,chauvin,m,fr
608,chavirement,m,fr
609,catch,m,fr
610,chavirage,m,fr
611,chauvinisme,m,fr
612,chauve-souriceau,m,fr
613,chaussetier,m,fr
614,chaume,m,fr
615,chausseur,m,fr
616,chausse-trape,m,fr
617,chausson,m,fr
618,chausse-pied,m,fr
619,chaulage,m,fr
620,chili,m,fr
621,chaus,m,fr
622,chik,m,fr
623,chihuahua,m,fr
624,chignon,m,fr
625,chiffrement,m,fr
626,chiisme,m,fr
627,chiffreur,m,fr
628,chiffre,m,fr
629,chiffonnier,m,fr
630,chiffonnement,m,fr
631,chiffrage,m,fr
632,chiffonnade,m,fr
633,chronotachygraphe,m,fr
634,chronolecte,m,fr
635,chiffonnage,m,fr
636,chronographe,m,fr
637,chrono,m,fr
